ENTP,ESTJ,2
ISFP,INFP,1
ISFP,ENFP,1
ISFP,INFJ,2
ISFP,ENFJ,3
ISFP,INTJ,3
ISFP,ENTJ,2
ISFP,INTP,2
ISFP,ENTP,3
ISFP,ISFP,4
ISFP,ESFP,4
ISFP,ISTP,4
ISFP,ESTP,4
ISFP,ISFJ,3
ISFP,ESFJ,3
ISFP,ISTJ,3
ISFP,ESTJ,3
ESFP,INFP,1
ESFP,ENFP,1
ESFP,INFJ,2
ESFP,ENFJ,3
ESFP,INTJ,3
ESFP,ENTJ,2
ESFP,INTP,2
ESFP,ENTP,3
ESFP,ISFP,4
ESFP,ESFP,4
ESFP,ISTP,4
ESFP,ESTP,4
ESFP,ISFJ,3
ESFP,ESFJ,3
ESFP,ISTJ,3
ESFP,ESTJ,3
ISTP,INFP,1
ISTP,ENFP,1
ISTP,INFJ,2
ISTP,ENFJ,2
ISTP,INTJ,3
ISTP,ENTJ,2
ISTP,INTP,2
ISTP,ENTP,3
ISTP,ISFP,4
ISTP,ESFP,4
ISTP,ISTP,4
ISTP,ESTP,4
ISTP,ISFJ,3
ISTP,ESFJ,3
ISTP,ISTJ,3
ISTP,ESTJ,3
ESTP,INFP,1
ESTP,ENFP,1
ESTP,INFJ,2
ESTP,ENFJ,2
ESTP,INTJ,3
ESTP,ENTJ,2
ESTP,INTP,2
ESTP,ENTP,3
ESTP,ISFP,4
ESTP,ESFP,4
ESTP,ISTP,4
ESTP,ESTP,4
ESTP,ISFJ,3
ESTP,ESFJ,3
ESTP,ISTJ,3
ESTP,ESTJ,3
ISFJ,INFP,2
ISFJ,ENFP,2
ISFJ,INFJ,3
ISFJ,ENFJ,4
ISFJ,INTJ,2
ISFJ,ENTJ,2
ISFJ,INTP,3
ISFJ,ENTP,3
ISFJ,ISFP,3
ISFJ,ESFP,3
ISFJ,ISTP,3
ISFJ,ESTP,3
ISFJ,ISFJ,4
ISFJ,ESFJ,4
ISFJ,ISTJ,4
ISFJ,ESTJ,4
ESFJ,INFP,2
ESFJ,ENFP,2
ESFJ,INFJ,3
ESFJ,ENFJ,4
ESFJ,INTJ,2
ESFJ,ENTJ,2
ESFJ,INTP,3
ESFJ,ENTP,3
ESFJ,ISFP,3
ESFJ,ESFP,3
ESFJ,ISTP,3
ESFJ,ESTP,3
ESFJ,ISFJ,4
ESFJ,ESFJ,4
ESFJ,ISTJ,4
ESFJ,ESTJ,4
ISTJ,INFP,2
ISTJ,ENFP,2
ISTJ,INFJ,2
ISTJ,ENFJ,2
ISTJ,INTJ,3
ISTJ,ENTJ,2
ISTJ,INTP,2
ISTJ,ENTP,2
ISTJ,ISFP,3
ISTJ,ESFP,3
ISTJ,ISTP,3
ISTJ,ESTP,3
ISTJ,ISFJ,4
ISTJ,ESFJ,4
ISTJ,ISTJ,4
ISTJ,ESTJ,4
ESTJ,INFP,2
ESTJ,ENFP,2
ESTJ,INFJ,2
ESTJ,ENFJ,2
ESTJ,INTJ,2
ESTJ,ENTJ,2
ESTJ,INTP,2
ESTJ,ENTP,2
ESTJ,ISFP,3
ESTJ,ESFP,3
ESTJ,ISTP,3
ESTJ,ESTP,3
ESTJ,ISFJ,4
ESTJ,ESFJ,4
ESTJ,ISTJ,4
ESTJ,ESTJ,4
